format,day,2020,2021,2022
2,2,1,0,0
2,2,0.5,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,1,0,0
2,2,13.5,0,0
2,2,9,0,0
2,2,0.5,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,1,0,0.5
2,2,12,0,1.5
2,2,7,0,0
2,2,6.5,0,0.5
2,2,8,0,4.5
2,2,2.5,0,1
2,2,7.5,0,19.5
2,2,14,0,22.5
2,2,26.5,0,1.5
2,2,18.5,0,0.5
2,2,7.5,0,0
2,2,1.5,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0.5
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
2,2,0,0,0
,,0,,0
3,3,0,0,0
3,3,0,0,0.5
3,3,0,0,1
3,3,0,0,1.5
3,3,0,0,0.5
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0.1,0
3,3,0,2.5,0
3,3,0,1.1,0
3,3,0,0,0
3,3,0,1.6,0
3,3,0,0,0
3,3,0,0,0
3,3,0,1.3,0
3,3,0,2.1,0
3,3,0,5.4,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0.5
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,2.1,0
3,3,0,0.1,0
3,3,0.5,0,0
3,3,0,0,0
3,3,2,0,0
3,3,1,0,0
3,3,0.5,0,0
3,3,20,0,0
3,3,14.5,0,0
3,3,4,0,0
3,3,0.5,0,0
3,3,1,0,0
3,3,0,0,0
3,3,1.5,0,0
3,3,5,0,0
3,3,0,0,0
3,3,2,0,0
3,3,0.5,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,1
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0.5
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,2.6,0
3,3,0,2.7,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,0
3,3,0,0,-1
,,0,,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,4.5
4,4,0,0,22.5
4,4,0,0,0.5
4,4,0,0,0
4,4,0,0,5
4,4,0,0,0.5
4,4,0,0,3.5
4,4,0,0,0.5
4,4,0,0,0.5
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0.5,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,7,0,0
4,4,3,0,0
4,4,0.5,0,0
4,4,2.5,0,0
4,4,16.5,0,0
4,4,0.5,0,0
4,4,2.5,0,0
4,4,0,0,0.5
4,4,0,0,1
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0.5
4,4,0,0,0
4,4,0,0,0.5
4,4,0,0,1.5
4,4,0,0,1
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0.7,0
4,4,0,2.9,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0.8,0
4,4,0,0.2,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
4,4,0,0,0
,,0,,1
5,5,0,0,0.5
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,1,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,0,0,0.5
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,3.5,0,0
5,5,0.5,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,1.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,1,0,0
5,5,10.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,17,0,0
5,5,0.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,1
5,5,0,0,0
5,5,0,0,0.5
5,5,0,0,0
5,5,0.5,0,0
5,5,6,0,0.5
5,5,2,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0.5,0,0
5,5,4,0,0
5,5,11,0,0
5,5,2.5,0,0
5,5,1.5,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,1,0,0
5,5,0.5,0,0.5
5,5,0,0,2.5
5,5,0,0,3
5,5,0.5,0,2.5
5,5,0,0,1.5
5,5,0.5,0,1
5,5,0,0,2.5
5,5,0,0,2
5,5,0,0,3
5,5,0,0,2
5,5,0,0,0.5
5,5,0,0,2
5,5,0,0,3
5,5,0,0,1
5,5,0,0,1.5
5,5,0,0,1
5,5,0,0,1
5,5,0,0,1
5,5,0,0,1
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
5,5,0,0,0
,,0,,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0.4,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,0,0,0
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,1,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0.1,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0.3,
6,6,,0.2,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0.1,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
6,6,,0,
,,,,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
7,7,,0,
,,,,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0.1,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,3.9,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0.5,
8,8,,4.1,
8,8,,3.4,
8,8,,1.7,
8,8,,1.7,
8,8,,0,
8,8,,0,
8,8,,2.7,
8,8,,1.4,
8,8,,0.2,
8,8,,1.7,
8,8,,3.7,
8,8,,0.3,
8,8,,21.799999,
8,8,,6.7,
8,8,,0.6,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,1,
8,8,,0.7,
8,8,,0.1,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,2.1,
8,8,,3,
8,8,,1.8,
8,8,,0.4,
8,8,,0.1,
8,8,,0,
8,8,,1.1,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
8,8,,0,
,,,,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,2.7,
9,9,,11.3,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0.5,
9,9,,0.2,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0.1,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0.2,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
9,9,,0,
,,,,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0.1,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0.2,
10,10,,4.5,
10,10,,12.9,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0.1,
10,10,,0.2,
10,10,,0.2,
10,10,,0.2,
10,10,,0.2,
10,10,,0.1,
10,10,,1.3,
10,10,,0.6,
10,10,,0.2,
10,10,,0,
10,10,,0,
10,10,,0.1,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
10,10,,0,
,,,,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0.6,
11,11,,1,
11,11,,6.4,
11,11,,15.6,
11,11,,5.4,
11,11,,1,
11,11,,10,
11,11,,17.200001,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,0.3,
11,11,,0,
11,11,,0,
11,11,,0,
11,11,,2,
11,11,,3.8,
